"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Holloway Land Company","Contract","Foothill Partners","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Hugs Dispensary","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Lend Lease","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Northstar Hollistic","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Pacific Housing","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Saca Commercial","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Sisler and Sisler","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Taylor and Wiley","4th Quarter 2013","01/08/14"
"Holloway Land Company","Contract","Warwick Properties","4th Quarter 2013","01/08/14"
"King Street Capital Management, L.P.","Business/ Organization","N/A","4th Quarter 2013","01/14/14"
"Law Offices of Alberto Torrico","Contract","Rutan and Tucker/Dessens LLC","4th Quarter 2013","01/16/14"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Armour Steel Company","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Hart Enterprises, L.P.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","KB Homes","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek, LLC; Natomas Meadows, LLC; Commerce   Station LLC; East Commerce Parkway, LLC; and Natomas Towne Center, LLC)","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Lennar Winncrest, LLC","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corp.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI, L.P.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Panatonni Development Company","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino-Natomas, LLC","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Peter Yellowlees","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Regent Development, Inc.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Schetter Electric Company, Inc.","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Shea Homes","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Signature Healthcare Services, LLC","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Cons., LLC/John Valensin","4th Quarter 2013","01/14/14"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","4th Quarter 2013","01/14/14"
"Law Offices of Richard H. Hyde","Contract","13th and I Associates","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","California Fairs Financing Authority dba California Construction","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","GMA Investors","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","Lucas Enterprises","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","Sotiris K. Kolkotronis dba SKK Dev. Comp.","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","Township 9 (Fomerly known as Capitol Station 65, LLC)","4th Quarter 2013","01/16/14"
"Law Offices of Richard H. Hyde","Contract","Z Gallerie","4th Quarter 2013","01/16/14"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Assn","4th Quarter 2013","01/09/14"
"Pacific Advocacy Group","Contract","PHCC of California","4th Quarter 2013","01/09/14"
"Pacific Advocacy Group","Contract","WECA-IEC","4th Quarter 2013","01/09/14"
"Pacific Investment Management Company","Business/ Organization","N/A","4th Quarter 2013","01/15/14"
"Rasmusson Public Affairs","Contract","CBS Outdoor","4th Quarter 2013","01/17/14"
"Rasmusson Public Affairs","Contract","LPS Asset  Management Solutions, Inc.","4th Quarter 2013","01/17/14"
"Rasmusson Public Affairs","Contract","Sacramento Association of Realtors","4th Quarter 2013","01/17/14"
"Rasmusson Public Affairs","Contract","Saca Development","4th Quarter 2013","01/17/14"
"Rasmusson Public Affairs","Contract","Tooley Oil Company","4th Quarter 2013","01/17/14"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","4th Quarter 2013","01/13/14"
"Revell Communications","Contract","Sac Independent Taxi Owners Assoc.","4th Quarter 2013","01/15/14"
"Revell Communications","Contract","American Promotional Events, Inc, (aka TNT Fireworks)","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","AKT Development","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Elixir Industries","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Gurjeet Hundal","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","John Manikas","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Johnny Javanifard","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Kevin Terry / 500 Richards","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Meer Capital Partners","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Opus West Corporation","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Rock-Tenn Company","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","St. Anton","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Stonebridge/Teichert","4th Quarter 2013","01/15/14"
"Taylor & Wiley","Contract","Venatus","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","455 Capitol Mall","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Alleghaney Properties, LLC","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Capitol Station 65","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Clear Channel","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Fountain Residential Partners","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Integral Communities","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Jason Kletter, BAART Programs","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Jeremy Goodin","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Kennedy Wilson","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","NBA","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Nestle Waters of North America","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Petco","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Priority Parking","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Ranch Capital","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Riverview Investments","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Sacramento Basketball Holdings, LLC","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Steven Trolio, Trolio Homes","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","The Evergreen Company","4th Quarter 2013","01/15/14"
"Thomas Law Group","Contract","Zaremba Group LLC","4th Quarter 2013","01/15/14"
"Dessins, LLC","Expenditure","N/A","4th Quarter 2013 Termination","01/15/14"
"Harrison, Temblador, Hungerford  & Johnson, LLP","Contract","7up Bottling Company","4th Quarter 2013 Termination","01/15/14"
"Law Offices of Alberto Torrico","Contract","East Sacramento Partnerships for a Livable Community","2nd Quarter 2014","06/03/14"
"Rental Housing Association of Sacramento Valley","Business/ Organization","N/A","2nd Quarter 2014","07/03/14"
"Pacific Investment Management Company LLC","Business/ Organization","N/A","2nd Quarter 2014","07/05/14"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","2nd Quarter 2014","07/07/14"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Association(ACTS)","2nd Quarter 2014","07/07/14"
"Pacific Advocacy Group","Contract","Plumbing-Heating-Cooling Contractors Association of California (CAPHCC)","2nd Quarter 2014","07/07/14"
"Pacific Advocacy Group","Contract","Western Electrican Contractors Association (WECA)","2nd Quarter 2014","07/07/14"
"King Street Capital Management, L.P.","Business/ Organization","N/A","2nd Quarter 2014","07/08/14"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Armstrong Development Properties, Inc.","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Fritz Brown","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Ken Schumacher (Natomas Creek, LLC; Natomas Meadow, LLC: Commerce Station, LLC; East Commerce Parkway, LLC; Natomas Towne Center, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Lennar Winncrest, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corporation","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI LP","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Panattoni Development Company","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino Natomas, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Regent Development Inc.","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Signature Healthcare Services, LLC","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Consulting, LLC/John Valensin","2nd Quarter 2014","07/09/14"
"Law Offices of Gregory D. Thatch","Contract","TIAA-CREF","2nd Quarter 2014","07/09/14"
"Legacy Foundation Action Fund","Expenditure","N/A","2nd Quarter 2014","07/09/14"
"Holloway Land Company","Contract","7-Eleven, Inc.","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","ABC Consulting","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Brothers Development","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Compass Commercial","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","DT Real Estate","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Evergreen Development/Dollar General Store","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Foothill Partners","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Jensen Precast","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","North Star Holistic Collective","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Pacific Housing","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Saca Commercial","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Sisler & Sisler","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Taylor & Wiley","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Universal Service Recycling, Inc.","2nd Quarter 2014","07/10/14"
"Holloway Land Company","Contract","Warwick Properties","2nd Quarter 2014","07/10/14"
"Revell Communications","Contract","American Promotional Events, Inc. dba TNT Fireworks","2nd Quarter 2014","07/11/14"
