"Lobbyist","Lobbyist Type","Client","Report Type","Filing Date"
"Pacific Investment Management Company LLC","Business/ Organization","NA","4th Quarter 2016","01/19/16"
"Platinum Advisors","Contract","Michael Ray","4th Quarter 2016","01/08/16"
"Platinum Advisors","Contract","Nate Bradley","4th Quarter 2016","01/08/16"
"Rasmusson Public Affairs Inc.","Contract","Saca Development","4th Quarter 2016","01/26/16"
"Rasmusson Public Affairs Inc.","Contract","OutFront Media","4th Quarter 2016","01/26/16"
"Rasmusson Public Affairs Inc.","Contract","Sacramento Association of Realtors","4th Quarter 2016","01/26/16"
"Rasmusson Public Affairs Inc.","Contract","Louis Nastro","4th Quarter 2016","01/26/16"
"Rasmusson Public Affairs Inc.","Contract","Tooley Oil Company","4th Quarter 2016","01/26/16"
"Revell Communications","Contract","American Promotional Events, Inc. dba TNT Fireworks","4th Quarter 2016","01/12/16"
"Summit Partners, L.P and its affiliate Summit Partners Credit Advisors, L.P","Business/ Organization","NA","4th Quarter 2016","01/07/16"
"Taylor & Wiley","Contract","Pappas Investments","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Rock-Tenn Company","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Elixir Industries","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Opus West Corporation","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","John Manikas","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Meer Capital Partners","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","AKT Development","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Stonebridge/Teichert","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Johnny Javanifard","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Gurjeet Handal","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","St. Anton","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Kevin Terry/500 Richards","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Venatus","4th Quarter 2016","01/14/16"
"Taylor & Wiley","Contract","Ryan Heater","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Alleghany Properties, LLC","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","455 Capitol Mall","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Capitol Station 65","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Ranch Capital","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Integral Communities","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Sacramento Basketball Holdings, LLC","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Kennedy Wilson","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Steven Trolio, Trolio Homes","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Jackson Properties John Jackson","4th Quarter 2016","01/14/16"
"Thomas Law Group","Contract","Fulcrum Properties","4th Quarter 2016","01/14/16"
"Pacific Investment Management Company LLC","Business/ Organization","NA","4th Quarter 2016-Amendment","01/25/16"
"APCO Worldwide","Contract","NA","4th Quarter 2016-Termination","03/28/16"
"California Capitol Solutions/Max Del Real","Contract","Hugs Alternative Care","1st Quarter 2016","04/25/16"
"California Capitol Solutions/Max Del Real","Contract","Alpine Alternative","1st Quarter 2016","04/25/16"
"California Capitol Solutions/Max Del Real","Contract","Greenstone","1st Quarter 2016","04/25/16"
"California Capitol Solutions/Max Del Real","Contract","Horizon Nonprofit Collective","1st Quarter 2016","04/25/16"
"California Capitol Solutions/Max Del Real","Contract","Paragary Restaurant Group","1st Quarter 2016","04/25/16"
"California Capitol Solutions/Max Del Real","Contract","The Gateway Real Estate Company, Inc.","1st Quarter 2016","04/25/16"
"California Common Cause","Business/ Organization","NA","1st Quarter 2016","04/05/16"
"Hansen & Associates","Contract","Easter Seals Superior California","1st Quarter 2016","04/18/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","Republic Services","1st Quarter 2016","04/14/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","New American Communities/Del Paso Homes, Inc.","1st Quarter 2016","04/14/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","West Coast Housing Partners/BHT II Parkebridge 531 (Delaware LLC)","1st Quarter 2016","04/14/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","CA Ventures","1st Quarter 2016","04/14/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","The Evergreen Company","1st Quarter 2016","04/14/16"
"Hawkins Strategic Advocacy","Contract","All About Wellness","1st Quarter 2016","04/19/16"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","1st Quarter 2016","04/06/16"
"Hefner, Stark & Marois, LLP","Contract","Downtown Railyard Venture, LLC","1st Quarter 2016","04/06/16"
"Hefner, Stark & Marois, LLP","Contract","Encore Mckinley Village, LLC","1st Quarter 2016","04/06/16"
"Hefner, Stark & Marois, LLP","Contract","Creekside Natomas Partner Officepark, LLC","1st Quarter 2016","04/06/16"
"Hefner, Stark & Marois, LLP","Contract","TA Realty","1st Quarter 2016","04/06/16"
"Holloway Land Company","Contract","7-Eleven, Inc.","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","ABC Consulting","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","AMCAL Equities","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Bennet Engineering","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Brothers Development","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Compass Commercial","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Cross Development","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","DT Real Estate","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Dos Rios Investors, LLC","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Evergreen Development/Dollar General Store","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Foothill Partners","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Jensen Precast","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","MO Capital/Raley's","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","North Star Holistic Collective","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Pacific Housing / Threshold Construction","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Pannattoni Development Company","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","P.S.A.C., Inc","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Saca Commercial","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Sacramento Sports Center","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Sisler & Sisler","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Taylor & Wiley","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Teranomic-Ohana","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","The Hodgson Co.","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Universal Service Recycling, Inc.","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Vietnamese Cultural Center","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Warwick Properties","1st Quarter 2016","04/12/16"
"Holloway Land Company","Contract","Zanker Road Resource Management","1st Quarter 2016","04/12/16"
"King Street Capital Management, L.P.","Business/ Organization","NA","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Armstrong Development Properties, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Assent, LLC","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","California New Care Dealers Association","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","California Vehicle Foundation, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Robert C. Cook, Jr.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Crescendo Properties, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","DeFazio Real Estate Co.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek,LLC; Natomas Meadows LLC; Commerce Station, LLC; East Commerce Parkway, LLC; Natomas Towne Center, LLC","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corporation","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Lynda Taylor","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI LP","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Pacific Coast Investments, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Pannattoni Development Company","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino Natomas, LLC","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Regent Development Inc.","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Consulting, LLC/John Valensin","1st Quarter 2016","04/14/16"
"Law Offices of Gregory D. Thatch","Contract","Westwood Development Nevada","1st Quarter 2016","04/14/16"
"Pacific Advocacy Group","Contract","Western Electrican Contractors Association (WECA)","1st Quarter 2016","04/14/16"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Association(ACTS)","1st Quarter 2016","04/14/16"
"Pacific Advocacy Group","Contract","Plumbing-Heating-Cooling Contractors Association of California (CAPHCC)","1st Quarter 2016","04/14/16"
"Pacific Advocacy Group","Contract","American Fire Sprinkler Association - Sacramento Valley Chapter","1st Quarter 2016","04/14/16"
"Pacific Investment Management Company LLC","Business/ Organization","NA","1st Quarter 2016","04/13/16"
"Platinum Advisors","Contract","Bloom Farms","1st Quarter 2016","04/29/16"
"Platinum Advisors","Contract","Nate Bradley, California Cannabis Industry Association","1st Quarter 2016","04/29/16"
"Rasmusson Public Affairs Inc.","Contract","Saca Development","1st Quarter 2016","04/26/16"
"Rasmusson Public Affairs Inc.","Contract","CBS Outdoor","1st Quarter 2016","04/26/16"
"Rasmusson Public Affairs Inc.","Contract","Sacramento Association of Realtors","1st Quarter 2016","04/26/16"
"Rasmusson Public Affairs Inc.","Contract","Louis Nastro","1st Quarter 2016","04/26/16"
"Rasmusson Public Affairs Inc.","Contract","Tooley Oil Company","1st Quarter 2016","04/26/16"
"Revell Communications","Contract","American Promotional Events, Inc. dba TNT Fireworks","1st Quarter 2016","04/11/16"
"Summit Partners, L.P and its affiliate Summit Partners Credit Advisors, L.P","Business/ Organization","NA","1st Quarter 2016","04/08/16"
"Taylor & Wiley","Contract","Pappas Investments","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Rock-Tenn Company","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Elixir Industries","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Opus West Corporation","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","John Manikas","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Meer Capital Partners","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","AKT Development","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Stonebridge/Teichert","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Johnny Javanifard","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Gurjeet Handal","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","St. Anton","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Kevin Terry/500 Richards","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Venatus","1st Quarter 2016","04/14/16"
"Taylor & Wiley","Contract","Ryan Heater","1st Quarter 2016","04/14/16"
"Thomas Law Group","Contract","Alleghany Properties, LLC","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","455 Capitol Mall","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Capitol Station 65","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Ranch Capital","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Integral Communities","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Sacramento Basketball Holdings, LLC","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Kennedy Wilson","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Steven Trolio, Trolio Homes","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Jackson Properties John Jackson","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Fulcrum Properties","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Suncloak, LLC","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Vanir Energy, LLC","1st Quarter 2016-Amendment","04/15/16"
"Thomas Law Group","Contract","Harvest Law","1st Quarter 2016-Amendment","04/15/16"
"California Capitol Solutions, LLC","Contract","Hugs Alternative Care","2nd Quarter 2016","07/15/16"
"California Capitol Solutions, LLC","Contract","Alpine Alternative","2nd Quarter 2016","07/15/16"
"California Capitol Solutions, LLC","Contract","Hayes Insurance Agency","2nd Quarter 2016","07/15/16"
"California Capitol Solutions, LLC","Contract","Paragary Restaurant Group","2nd Quarter 2016","07/15/16"
"California Capitol Solutions, LLC","Contract","The Gateway Real Estate Company, Inc.","2nd Quarter 2016","07/15/16"
"CA Common Cause","Business/ Organization","NA","2nd Quarter 2016","07/11/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","Republic Services","2nd Quarter 2016","07/08/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","CA Ventures","2nd Quarter 2016","07/08/16"
"Hansen & Associates","Contract","Easter Seals Superior California","2nd Quarter 2016","07/21/16"
"Hawkins Strategic Advocacy","Contract","All About Wellness","2nd Quarter 2016","07/12/16"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","2nd Quarter 2016","07/06/16"
"Hefner, Stark & Marois, LLP","Contract","Downtown Railyard Venture, LLC","2nd Quarter 2016","07/06/16"
"Hefner, Stark & Marois, LLP","Contract","Encore Mckinley Village, LLC","2nd Quarter 2016","07/06/16"
"Hefner, Stark & Marois, LLP","Contract","Creekside Natomas Partner Officepark, LLC","2nd Quarter 2016","07/06/16"
"Hefner, Stark & Marois, LLP","Contract","TA Realty","2nd Quarter 2016","07/06/16"
"Holloway Land Company","Contract","7-Eleven, Inc.","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","ABC Consulting","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","AMCAL Equities","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Bennet Engineering","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Brothers Development","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Compass Commercial","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Cross Development","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","DT Real Estate","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Dos Rios Investors, LLC","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Evergreen Development/Dollar General Store","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Foothill Partners","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Jensen Precast","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","MO Capital/Raley's","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","North Star Holistic Collective","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Oakmont Senior Living","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Pacific Housing/Threshold Construction","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Pannattoni Development Company","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","P.S.A.C., Inc","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Saca Commercial","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Sacramento Sports Center","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Sisler & Sisler","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Taylor & Wiley","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Teranomic-Ohana","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","The Hodgson Co.","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Universal Service Recycling, Inc.","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Vietnamese Cultural Center","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Warwick Properties","2nd Quarter 2016","07/14/16"
"Holloway Land Company","Contract","Zanker Road Resource Management","2nd Quarter 2016","07/14/16"
"King Street Capital Management, L.P.","Business/ Organization","NA","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Alleghany Properties, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Armstrong Development Properties, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Assent, LLC","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Brookfield Natomas, LLC","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","California New Care Dealers Association","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Robert C. Cook, Jr.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Crescendo Properties, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","DeFazio Real Estate Co.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Downtown Ford","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Granite Bay Development","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Howe & University, LLC","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","K. Hovnanian Forecast Homes Northern, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Kern Schumacher (Natomas Creek,LLC; Natomas Meadows LLC; Commerce Station, LLC; East Commerce Parkway, LLC; Natomas Towne Center, LLC","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Lewis Operating Corporation","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Lynda Taylor","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","M&H Realty Partners, VI LP","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Pacific Coast Investments, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Pannattoni Development Company","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Paratransit, Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Park El Camino Natomas, LLC","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Regent Development Inc.","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Steve Gidaro 5G Consulting, LLC/John Valensin","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Tower Development Corporation Daniel Benvenuti Jr., President","2nd Quarter 2016","07/14/16"
"Law Offices of Gregory D. Thatch","Contract","Westwood Development Nevada","2nd Quarter 2016","07/14/16"
"MVM Strategy Group/Rand Martin and Kathleen Van Osten","Contract","Consortium Management Group","2nd Quarter 2016-Initial","08/26/16"
"Pacific Advocacy Group","Contract","Western Electrican Contractors Association (WECA)","2nd Quarter 2016","07/15/16"
"Pacific Advocacy Group","Contract","Air Conditioning Trade Association(ACTS)","2nd Quarter 2016","07/15/16"
"Pacific Advocacy Group","Contract","Plumbing-Heating-Cooling Contractors Association of California (CAPHCC)","2nd Quarter 2016","07/15/16"
"Pacific Advocacy Group","Contract","American Fire Sprinkler Association - Sacramento Valley Chapter","2nd Quarter 2016","07/15/16"
"Pacific Investment Management Company LLC","Business/ Organization","NA","2nd Quarter 2016","07/18/16"
"Rasmusson Public Affairs Inc.","Contract","Saca Development","2nd Quarter 2016","07/19/16"
"Rasmusson Public Affairs Inc.","Contract","OutFront Media (CBS Outdoor)","2nd Quarter 2016","07/19/16"
"Rasmusson Public Affairs Inc.","Contract","Louis Nastro","2nd Quarter 2016","07/19/16"
"Rasmusson Public Affairs Inc.","Contract","Tooley Oil Company","2nd Quarter 2016","07/19/16"
"Rasmusson Public Affairs Inc.","Contract","Sacramento Association of Realtors","2nd Quarter 2016","07/19/16"
"Revell Communications","Contract","American Promotional Events, Inc. dba TNT Fireworks","2nd Quarter 2016","07/08/16"
"Summit Partners, L.P and its affiliate Summit Partners Credit Advisors, L.P","Business/ Organization","NA","2nd Quarter 2016","07/11/16"
"Taylor & Wiley","Contract","Pappas Investments","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Rock-Tenn Company","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Elixir Industries","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Opus West Corporation","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","John Manikas","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Meer Capital Partners","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","AKT Development","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Stonebridge/Teichert","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Johnny Javanifard","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Gurjeet Handal","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","St. Anton","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","California Railroad Museum Foundation","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Kevin Terry/500 Richards","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Venatus","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Ryan Heater","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","Eddie Amuneke","2nd Quarter 2016","07/13/16"
"Taylor & Wiley","Contract","SGI-USA","2nd Quarter 2016","07/13/16"
"Thomas Law Group","Contract","Alleghany Properties LLC","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","455 Capitol Mall","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Capitol Station 65","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Ranch Capital","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Integral Communities","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Sacramento Basketball Holdings, LLC","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Kennedy Wilson","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Steven Trolio, Trolio Homes","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Jackson Properties John Jackson","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Fulcrum Properties","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Suncloak, LLC","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Vanir Energy, LLC","2nd Quarter 2016","07/14/16"
"Thomas Law Group","Contract","Harvest Law","2nd Quarter 2016","07/14/16"
"APCO Worldwide","Contract","Sacramento Hotel Association","2nd Quarter 2016 - Initial","09/12/16"
"California Capitol Solutions, LLC","Contract","Hugs Alternative Care","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Alpine Alternative","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Community Health Solutions","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Hayes Insurance Agency","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Paragary Restaurant Group","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Crime Alert Security","3rd Quarter 2016","10/18/16"
"California Capitol Solutions, LLC","Contract","Boyd Plumbing, Inc.","3rd Quarter 2016","10/18/16"
"California Common Cause","Business/ Organization","NA","3rd Quarter 2016","10/10/16"
"Governmental Advocates, Inc.","Contract","EAZE","3rd Quarter 2016","11/07/16"
"Hansen & Associates","Contract","Easter Seals Superior California","3rd Quarter 2016","10/18/16"
"Hansen & Associates","Contract","STEP","3rd Quarter 2016","10/18/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","Republic Services","3rd Quarter 2016","10/14/16"
"Harrison, Temblador, Hungerford & Johnson, LLP","Contract","CA Ventures","3rd Quarter 2016","10/14/16"
"Hawkins Strategic Advocacy","Contract","All About Wellness","3rd Quarter 2016","10/13/16"
"Hefner, Stark & Marois, LLP","Contract","The Evergreen Company","3rd Quarter 2016","10/05/16"
"Hefner, Stark & Marois, LLP","Contract","Downtown Railyard Venture, LLC","3rd Quarter 2016","10/05/16"
"Hefner, Stark & Marois, LLP","Contract","Encore Mckinley Village, LLC","3rd Quarter 2016","10/05/16"
"Hefner, Stark & Marois, LLP","Contract","Creekside Natomas Partner Officepark, LLC","3rd Quarter 2016","10/05/16"
"Hefner, Stark & Marois, LLP","Contract","TA Realty","3rd Quarter 2016","10/05/16"
"Holloway Land Company","Contract","7-Eleven, Inc.","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","ABC Consulting","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","AMCAL Equities","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Bennet Engineering","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Brothers Development","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Compass Commercial","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Cross Development","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","DT Real Estate","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Dos Rios Investors, LLC","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Evergreen Development/Dollar General Store","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Foothill Partners","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Jensen Precast","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","MO Capital/Raley's","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","North Star Holistic Collective","3rd Quarter 2016","10/14/16"
"Holloway Land Company","Contract","Oakmont Senior Living","3rd Quarter 2016","10/14/16"
